Marker,Chrom
D1S1677,1
D1S1656,1
TPOX,2
D2S441,2
D2S1776,2
D2S1338,2
D3S1358,3
D3S4529,3
D4S2408,4
FGA,4
D5S2500,5
D5S2800,5
D5S818,5
CSF1PO,5
SE33,6
D6S1043,6
D6S474,6
D7S820,7
D8S1179,8
D9S1122,9
D9S2157,9
D10S1248,10
TH01,11
VWA,12
D12S391,12
D12ATA63,12
D13S317,13
D14S1434,14
Penta_E,15
D16S539,16
D17S1301,17
D18S51,18
D19S433,19
D20S482,20
D21S11,21
Penta_D,21
D22S1045,22
DYS393,Y
DYS505,Y
DYS456,Y
DYS570,Y
DYS576,Y
DYS522,Y
DYS458,Y
DYS449,Y
DYS481,Y
DYS627,Y
DYS19,Y
DYS391,Y
DYS635,Y
DYS437_(GRCH37),Y
DYS437_(GRCH38),Y
DYS439__(GRCH37),Y
DYS439__(GRCH38),Y
DYS389-I_/_-II,Y
DYS438__(GRCH37),Y
DYS438__(GRCH38),Y
DYS612,Y
DYS390,Y
DYS518,Y
DYS643,Y
DYS533,Y
Y-GATA-H4,Y
DYS385b,Y
DYS385a,Y
DYS460____(MPS_sequence_may_include_incidental_STR_DYS461:_[TCTG]a_[TCTA]b),Y
DYS549,Y
DYS392,Y
DYS448,Y
DYF387S1_fragment_1,Y
DYF387S1_fragment_2,Y
DXS10135,X
DXS8378,X
DXS7132,X
DXS10074,X
DXS10103,X
HPRTB,X
DXS7423,X
D1GATA113_,1
D1S1627_,1
D2S1360_,2
D2S1772,2
D3S3045_,3
D3S1744_,3
D3S3053,3
D4S2366_,4
D4S2364,4
D6S477,6
D6S1017_,6
D7S3048_,7
D7S1517_,7
D8S1115,8
D8S1132,8
D9S925,9
D10S1435_,10
D10S2325_,10
D11S2368_,11
D11S4463_,11
D13S325_,13
D14S608_,14
D15S659,15
D17S974,17
D17S1290_,17
D18S853,18
D18S535_,18
D18S1364,18
D19S253_,19
D20S470,20
D20S1082,20
D21S1270,21
D21S2055_,21
D22GATA198B05_,22
DYS526-II,Y
DYS526-I,Y
DYF403S1a__(312_NT),Y
DYF403S1a__(316_NT),Y
DYF403S1b1__(341_NT)_,Y
DYF403S1b2__(437_NT),Y
DYS547,Y
DYS626,Y
DYF399S1_fragment_1,Y
DYF399S1_fragment_2,Y
DYF399S1_fragment_3,Y
DYF404S1_fragment_1,Y
DYF404S1_fragment_2,Y
DYS464_fragment_1,Y
DYS464_fragment_2,Y
DYS464_fragment_3,Y
DYS464_fragment_4,Y
DXS10148_,X
DXS10079_,X
DXS10101_,X
DXS10146___(GRCH38),X
DXS10146___(GRCH37),X
DXS10134__(GRCH37),X
DXS10134__(GRCH38),X
LPL,8
F13B,1
FESFPS,
F13A01,
Penta_B,
Penta_C,
D1S1679,1
D2S427,2
D3S2406,3
D3S4545,3
D5S1457,5
D7S2201,7
D9S1118,9
D11S1304,11
D12S297,12
D14S1426,14
D15S822,15
D21S102,21
D9S1120,9
D6S1027,6
