STR;CSF1PO;D10S1248;D12S391;D13S317;D16S539;D18S51;D19S433;D1S1656;D21S11;D22S1045;D2S1338;D2S441;D3S1358;D5S818;D6S1043;D7S820;D8S1179;F13A01;F13B;FESFPS;FGA;LPL;Penta_C;Penta_D;Penta_E;SE33;TH01;TPOX;vWA
N;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1036;1035;1036;1036;1036;1035;1036
Allele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.2;;;;;;;;;;;;;;;;;;;;;;;;0.0430;;;;;
3.2;;;;;;;;;;;;;;;;;;0.1390;;;;;;0.0034;;;;;
4.0;;;;;;;;;;;;;;;;;;0.0623;;;;;;;;;;;
4.2;;;;;;;;;;;;;;;;;;0.0005;;;;;;;;;;;
5.0;;;;;0.00048;;;;;;;;;;;;;0.2297;;0.0005;;;0.0174;0.0159;0.0729;;0.0019;0.0005;
6.0;;;;;;;;;;;;;;;;0.0005;;0.2476;0.1819;0.0005;;;;0.0063;0.0005;;0.1959;0.0319;
6.3;;;;;;;;;;;;;;;;;;;0.0005;;;;;;;0.0005;;;
7.0;0.0232;;;;;;;;;;;;;0.0111;;0.0164;;0.2466;0.0666;0.0014;;0.0072;0.0082;0.0164;0.1197;0.0005;0.2949;0.0072;
8.0;0.0212;0.0010;;0.0965;0.0212;;;;;0.0024;;0.0005;;0.0198;0.0005;0.1655;0.0106;0.0217;0.1684;0.0454;;0.0014;0.0328;0.0478;0.0661;;0.1255;0.4662;
8.1;;;;;;;;;;;;;;;;0.0005;;;;;;;;;;;;;
9.0;0.0294;0.0010;;0.0893;0.1626;0.0010;0.0005;;;;;0.0014;;0.0463;0.0005;0.1216;0.0048;0.0039;0.2321;0.0125;;0.0666;0.1931;0.2174;0.0275;;0.1689;0.1377;
9.1;;;;;;;;;;;;0.0010;;;;;;;;;;;;;;;;;
9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2056;;
10.0;0.2321;0.0029;;0.0589;0.1081;0.0048;0.0043;0.0072;;0.0169;;0.2032;;0.0777;0.0116;0.2949;0.0787;0.0024;0.3465;0.2278;;0.4324;0.0676;0.1275;0.0705;;0.0068;0.0599;
10.1;;;;;;;;;;;;;;;;;;;;;;;0.0005;;;;;;
10.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0005;;;
10.3;;;;;;;;;;;;;;;;0.0005;;;;0.0150;;;;;;;;;
11.0;0.2736;0.0130;;0.2905;0.2915;0.0072;0.0261;0.0512;;0.1298;;0.3403;0.0005;0.3156;0.2085;0.2346;0.0671;0.0024;0.0039;0.3909;;0.1897;0.3340;0.1556;0.0840;0.0005;0.0005;0.2444;0.0014
11.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0010;;;
11.3;;;;;;;;;;;;0.0487;;;;;;;;0.0010;;;;;;;;;
12.0;0.3446;0.0719;;0.3050;0.2568;0.0941;0.0835;0.0864;;0.0256;;0.0994;0.0014;0.3533;0.2143;0.1361;0.1419;0.0029;;0.2355;;0.2471;0.2172;0.1696;0.1593;0.0043;;0.0512;0.0010
12.2;;;;;;;0.0179;;;;;;;;;;;;;;;;;;;0.0019;;;
12.3;;;;;;;;;;;;0.0043;;;0.0005;;;;;;;;;;;;;;
13.0;0.0656;0.2765;;0.1163;0.1371;0.1047;0.2471;0.0951;;0.0053;;0.0323;0.0029;0.1631;0.0975;0.0275;0.2683;0.0130;;0.0647;;0.0492;0.1038;0.1386;0.0903;0.0116;;0.0010;0.0034
13.2;;;;;;0.0014;0.0319;;;;;;;;;;;;;;;;;;;0.0019;;;
13.3;;;;;;;;;;;;0.0010;;;;;;;;;;;;;;;;;
13.4;;;;;;;;;;;;;;;;;;;;;;;;0.0005;;;;;
14.0;0.0092;0.2958;0.0005;0.0420;0.0217;0.1293;0.3041;0.1448;;0.0526;;0.2268;0.0874;0.0111;0.0830;0.0019;0.2336;0.0097;;0.0048;;0.0058;0.0222;0.0464;0.0656;0.0319;;;0.0956
14.2;;;;;;0.0010;0.0512;;;;;;;;;;;;;;;;;;;0.0034;;;
14.3;;;;;;;;0.0043;;;;0.0005;;;;;;;;;;;;;;;;;
15.0;0.0010;0.2013;0.0507;0.0014;0.0005;0.1670;0.1178;0.1617;;0.3209;0.0010;0.0391;0.3045;0.0019;0.0323;;0.1404;0.0145;;;;0.0005;0.0024;0.0082;0.0656;0.0376;;;0.1347
15.2;;;;;;0.0005;0.0569;;;;;;0.0005;;;;;;;;;;;;;0.0024;;;
15.3;;;;;;;;0.0415;;;;;;;;;;;;;;;;;;;;;
15.4;;;;;;;;;;;;;;;;;;;;;;;;;0.0010;;;;
16.0;;0.1071;0.0405;;;0.1482;0.0280;0.1424;;0.2973;0.0401;0.0010;0.2828;;0.0077;;0.0487;0.0034;;;;;0.0010;0.0019;0.0507;0.0487;;;0.2302
16.2;;;;;;0.0005;0.0232;;;;;;;;;;;;;;0.0005;;;;;0.0019;;;
16.3;;;;;;;;0.0681;;;;;;;;;;;;;;;;;;0.0010;;;
17.0;;0.0265;0.1245;;;0.1332;0.0024;0.0420;;0.1366;0.1419;0.0005;0.2042;;0.0579;;0.0039;0.0005;;;0.0014;;;0.0014;0.0516;0.0734;;;0.2621
17.1;;;0.0014;;;;;;;;;;;;;;;;;;;;;;;;;;
17.2;;;;;;;0.0039;;;;;;;;;;;;;;0.0005;;;;;0.0005;;;
17.3;;;0.0125;;;;;0.1047;;;;;;;;;;;;;;;;;;0.0019;;;
18.0;;0.0014;0.2085;;;0.0878;;0.0058;;0.0101;0.0705;;0.1057;;0.1062;;0.0019;;;;0.0145;;;;0.0319;0.0956;;;0.1800
18.1;;;0.0005;;;;;;;;;;;;0.0005;;;;;;;;;;;;;;
18.2;;;;;;;0.0014;;;;;;;;;;;;;;0.0058;;;;;;;;
18.3;;;0.0130;;;;;0.0357;;;;;;;0.0005;;;;;;;;;;;0.0005;;;
19.0;;0.0014;0.1515;;;0.0613;;;;0.0024;0.1486;;0.0092;;0.0980;;;;;;0.0579;;;;0.0164;0.0931;;;0.0787
19.1;;;0.0034;;;;;;;;;;;;;;;;;;;;;;;;;;
19.2;;;;;;;;;;;;;;;;;;;;;0.0010;;;;;0.0029;;;
19.3;;;0.0048;;;;;0.0092;;;;;;;0.0010;;;;;;;;;;;;;;
19.4;;;;;;;;;;;;;;;;;;;;;;;;;0.0010;;;;
20.0;;;0.1264;;;0.0357;;;;;0.1327;;0.0010;;0.0458;;;;;;0.0883;;;;0.0116;0.0724;;;0.0116
20.1;;;0.0010;;;;;;;;;;;;;;;;;;;;;;;;;;
20.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0068;;;
20.3;;;0.0005;;;;;;;;;;;;0.0024;;;;;;;;;;;;;;
21.0;;;0.1009;;;0.0097;;;;;0.0666;;;;0.0111;;;;;;0.1472;;;;0.0043;0.0333;;;0.0014
21.2;;;;;;0.0005;;;;;;;;;;;;;;;0.0019;;;;;0.0179;;;
21.3;;;;;;;;;;;;;;;0.0101;;;;;;;;;;;;;;
22.0;;;0.0661;;;0.0087;;;;;0.0753;;;;0.0005;;;;;;0.1974;;;;0.0039;0.0145;;;
22.2;;;0.0005;;;;;;;;;;;;;;;;;;0.0068;;;;;0.0232;;;
22.3;;;;;;;;;;;;;;;0.0029;;;;;;0.0005;;;;;;;;
23.0;;;0.0492;;;0.0019;;;;;0.1182;;;;0.0034;;;;;;0.1559;;;;0.0034;0.0043;;;
23.2;;;;;;;;;;;;;;;;;;;;;0.0024;;;;;0.0280;;;
23.3;;;;;;;;;;;;;;;0.0005;;;;;;;;;;;;;;
24.0;;;0.0256;;;0.0010;;;;;0.0970;;;;0.0019;;;;;;0.1371;;;;0.0005;0.0005;;;
24.2;;;;;;;;;0.0005;;;;;;;;;;;;0.0010;;;;;0.0232;;;
24.3;;;0.0005;;;;;;;;;;;;;;;;;;;;;;;;;;
25.0;;;0.0116;;;;;;;;0.0835;;;;0.0005;;;;;;0.1004;;;;0.0019;;;;
25.2;;;;;;;;;0.0005;;;;;;;;;;;;0.0005;;;;;0.0352;;;
26.0;;;0.0034;;;;;;0.0005;;0.0227;;;;0.0005;;;;;;0.0492;;;;;0.0005;;;
26.2;;;;;;;;;0.0005;;;;;;;;;;;;;;;;;0.0589;;;
27.0;;;0.0024;;;;;;0.0386;;0.0019;;;;;;;;;;0.0198;;;;;0.0005;;;
27.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0738;;;
27.3;;;;;;;;;;;;;;;;;;;;;;;;;;0.0005;;;
28.0;;;;;;0.0005;;;0.1646;;;;;;;;;;;;0.0053;;;;;;;;
28.2;;;;;;;;;0.0005;;;;;;;;;;;;;;;;;0.0642;;;
28.3;;;;;;;;;;;;;;;;;;;;;;;;;;0.0010;;;
29.0;;;;;;;;;0.2042;;;;;;;;;;;;0.0024;;;;;;;;
29.2;;;;;;;;;0.0014;;;;;;;;;;;;;;;;;0.0468;;;
29.3;;;;;;;;;0.0005;;;;;;;;;;;;;;;;;;;;
30.0;;;;;;;;;0.2476;;;;;;;;;;;;0.0010;;;;;0.0005;;;
30.2;;;;;;;;;0.0217;;;;;;;;;;;;0.0005;;;;;0.0376;;;
30.3;;;;;;;;;0.0010;;;;;;;;;;;;;;;;;;;;
31.0;;;;;;;;;0.0801;;;;;;;;;;;;;;;;;0.0014;;;
31.2;;;;;;;;;0.0772;;;;;;;;;;;;0.0005;;;;;0.0188;;;
32.0;;;;;;;;;0.0140;;;;;;;;;;;;;;;;;0.0005;;;
32.2;;;;;;;;;0.0912;;;;;;;;;;;;;;;;;0.0092;;;
33.0;;;;;;;;;0.0043;;;;;;;;;;;;;;;;;0.0010;;;
33.1;;;;;;;;;0.0014;;;;;;;;;;;;;;;;;;;;
33.2;;;;;;;;;0.0328;;;;;;;;;;;;;;;;;0.0034;;;
34.0;;;;;;;;;0.0024;;;;;;;;;;;;;;;;;0.0039;;;
34.2;;;;;;;;;0.0014;;;;;;;;;;;;;;;;;0.0005;;;
35.0;;;;;;;;;0.0077;;;;;;;;;;;;;;;;;;;;
36.0;;;;;;;;;0.0034;;;;;;;;;;;;;;;;;0.0005;;;
37.0;;;;;;;;;0.0010;;;;;;;;;;;;;;;;;;;;
38.0;;;;;;;;;0.0005;;;;;;;;;;;;;;;;;;;;
39.0;;;;;;;;;0.0005;;;;;;;;;;;;;;;;;;;;
43.2;;;;;;;;;;;;;;;;;;;;;0.0005;;;;;;;;
Hobs;0.7558;0.7819;0.8813;0.7674;0.7761;0.8687;0.8118;0.8890;0.8330;0.7606;0.8793;0.7828;0.7519;0.7307;0.8514;0.7954;0.7992;0.7799;0.6940;0.7210;0.8745;0.7037;0.7761;0.8531;0.8996;0.9353;0.7471;0.6899;0.8060
PI;0.1054;0.0845;0.0271;0.0768;0.0749;0.0258;0.0559;0.0224;0.0403;0.0921;0.0220;0.0841;0.0915;0.1104;0.0320;0.0727;0.0558;0.0676;0.0972;0.1130;0.0308;0.1334;0.0770;0.0381;0.0146;0.0066;0.0766;0.1355;0.0611
PPE;0.5185;0.5699;0.7597;0.5923;0.5917;0.7624;0.6509;0.7836;0.6966;0.5614;0.7816;0.5739;0.5480;0.5146;0.7352;0.6004;0.6470;0.6085;0.5377;0.5039;0.7423;0.4731;0.5923;0.7144;0.8272;0.8881;0.5804;0.4700;0.6281
HWE;0.4431;0.5144;0.1863;0.0000;0.0709;0.7522;0.1556;0.1281;0.5066;0.0184;0.2078;0.3813;0.6678;0.3272;0.2913;0.4241;0.0656;0.0006;0.0000;0.2675;0.4588;0.0750;0.0075;0.0047;0.2200;0.5163;0.0000;0.0444;0.7644
