STR;CSF1PO;D10S1248;D12S391;D13S317;D16S539;D18S51;D19S433;D1S1656;D21S11;D22S1045;D2S1338;D2S441;D3S1358;D5S818;D6S1043;D7S820;D8S1179;F13A01;F13B;FESFPS;FGA;LPL;Penta_C;Penta_D;Penta_E;SE33;TH01;TPOX;vWA
N;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361;361
Allele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.2;;;;;;;;;;;;;;;;;;;;;;;;0.0042;;;;;
3.2;;;;;;;;;;;;;;;;;;0.0637;;;;;;;;;;;
4.0;;;;;;;;;;;;;;;;;;0.0263;;;;;;;;;;;
4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.0;;;;;;;;;;;;;;;;;;0.1939;;0.0014;;;0.0083;;0.0762;;0.0014;0.0014;
6.0;;;;;;;;;;;;;;;;;;0.3490;0.0956;;;;;0.0042;;;0.2355;0.0014;
6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.0;;;;;;;;;;;;;;0.0028;;0.0277;;0.3158;0.0166;;;0.0014;0.0028;0.0042;0.1690;;0.1939;;
8.0;0.0055;;;0.1205;0.0180;;;;;;;;;0.0055;0.0014;0.1440;0.0139;0.0042;0.2465;0.0249;;;0.0055;0.0208;0.0139;;0.0956;0.5249;
8.1;;;;;;;;;;;;;;;;0.0014;;;;;;;;;;;;;
9.0;0.0139;;;0.0776;0.1066;;;;;;;0.0014;;0.0416;;0.1676;0.0055;;0.2465;;;0.0388;0.1496;0.2216;0.0125;;0.1191;0.1274;
9.1;;;;;;;;;;;;0.0014;;;;;;;;;;;;;;;;;
9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3449;;
10.0;0.2202;;;0.0471;0.0568;0.0083;0.0014;0.0028;;;;0.2105;;0.0554;0.0166;0.2562;0.1025;0.0014;0.3892;0.2825;;0.4224;0.0665;0.1150;0.0859;;0.0083;0.0499;
10.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.0;0.3089;0.0014;;0.3255;0.3144;0.0097;0.0055;0.0776;;0.1399;;0.3435;0.0014;0.3560;0.2964;0.2050;0.0762;;0.0055;0.4114;;0.2645;0.3947;0.1260;0.0873;0.0014;0.0014;0.2521;
11.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.3;;;;;;;;;;;;0.0609;;;;;;;;;;;;;;;;;
12.0;0.3601;0.0319;;0.2687;0.3144;0.1136;0.0706;0.1163;;0.0125;;0.0471;;0.3878;0.2355;0.1593;0.1676;0.0014;;0.2355;;0.2327;0.2105;0.2327;0.1994;0.0069;;0.0416;0.0014
12.2;;;;;;;0.0014;;;;;;;;;;;;;;;;;;;;;;
12.3;;;;;;;;;;;;0.0042;;;;;;;;;;;;;;;;;
13.0;0.0817;0.3075;;0.1163;0.1634;0.1233;0.2548;0.0665;;0.0069;;0.0291;0.0014;0.1427;0.0873;0.0346;0.3296;0.0014;;0.0429;;0.0346;0.1427;0.1967;0.0859;0.0166;;0.0014;0.0014
13.2;;;;;;;0.0069;;;;;;;;;;;;;;;;;;;;;;
13.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.0;0.0097;0.2978;;0.0429;0.0263;0.1343;0.3615;0.0789;;0.0568;;0.2410;0.1066;0.0069;0.0554;0.0042;0.1662;0.0111;;0.0014;;0.0042;0.0180;0.0609;0.0623;0.0249;;;0.0928
14.2;;;;;;0.0014;0.0235;;;;;;;;;;;;;;;;;;;0.0028;;;
14.3;;;;;;;;0.0028;;;;;;;;;;;;;;;;;;;;;
15.0;;0.1967;0.0319;0.0014;;0.1704;0.1565;0.1496;;0.3213;0.0014;0.0596;0.2729;0.0014;0.0125;;0.1039;0.0249;;;;0.0014;0.0014;0.0097;0.0429;0.0402;;;0.1053
15.2;;;;;;;0.0360;;;;;;;;;;;;;;;;;;;;;;
