STR;CSF1PO;D10S1248;D12S391;D13S317;D16S539;D18S51;D19S433;D1S1656;D21S11;D22S1045;D2S1338;D2S441;D3S1358;D5S818;D6S1043;D7S820;D8S1179;F13A01;F13B;FESFPS;FGA;LPL;Penta_C;Penta_D;Penta_E;SE33;TH01;TPOX;vWA
N;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;341;342
Allele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.2;;;;;;;;;;;;;;;;;;;;;;;;0.1140;;;;;
3.2;;;;;;;;;;;;;;;;;;0.1184;;;;;;0.0088;;;;;
4.0;;;;;;;;;;;;;;;;;;0.0687;;;;;;;;;;;
4.2;;;;;;;;;;;;;;;;;;0.0015;;;;;;;;;;;
5.0;;;;;0.0015;;;;;;;;;;;;;0.3392;;;;;0.0249;0.0439;0.0950;;0.0044;;
6.0;;;;;;;;;;;;;;;;0.0015;;0.1272;0.3626;0.0015;;;;0.0102;0.0015;;0.1316;0.0894;
6.3;;;;;;;;;;;;;;;;;;;0.0015;;;;;;;;;;
7.0;0.0556;;;;;;;;;;;;;0.0029;;0.0117;;0.1974;0.1681;0.0029;;0.0161;0.0161;0.0439;0.1038;0.0015;0.4079;0.0176;
8.0;0.0556;0.0029;;0.0278;0.0322;;;;;0.0073;;;;0.0468;;0.2281;0.0073;0.0570;0.1082;0.0994;;0.0044;0.0512;0.1082;0.1667;;0.1959;0.3680;
8.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.0;0.0395;0.0029;;0.0336;0.1827;0.0029;;;;;;0.0029;;0.0322;0.0015;0.1155;0.0044;0.0088;0.2281;0.0278;;0.1301;0.1725;0.1681;0.0512;;0.1594;0.1950;
9.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.3;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0965;;
10.0;0.2500;0.0073;;0.0307;0.1170;0.0044;0.0102;0.0146;;0.0409;;0.0848;;0.0731;0.0058;0.3363;0.0307;0.0058;0.1287;0.2251;;0.3480;0.0702;0.0994;0.0468;;0.0044;0.0865;
10.1;;;;;;;;;;;;;;;;;;;;;;;0.0015;;;;;;
10.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0015;;;
10.3;;;;;;;;;;;;;;;;;;;;0.0424;;;;;;;;;
11.0;0.2485;0.0351;;0.3099;0.3143;0.0015;0.0629;0.0453;;0.1447;;0.3626;;0.2339;0.1535;0.2032;0.0526;0.0073;0.0029;0.3275;;0.1243;0.2778;0.1798;0.0643;;;0.2155;0.0029
11.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0029;;;
11.3;;;;;;;;;;;;0.0439;;;;;;;;0.0029;;;;;;;;;
12.0;0.2953;0.1301;;0.4181;0.2047;0.0760;0.1228;0.0643;;0.0541;;0.1652;0.0044;0.3684;0.2237;0.0877;0.1301;0.0044;;0.2266;;0.2953;0.2500;0.1082;0.1287;0.0029;;0.0264;0.0015
12.2;;;;;;;0.0365;;;;;;;;;;;;;;;;;;;0.0029;;;
12.3;;;;;;;;;;;;0.0058;;;;;;;;;;;;;;;;;
13.0;0.0468;0.2339;;0.1404;0.1228;0.0409;0.2456;0.1009;;0.0029;;0.0439;0.0029;0.2237;0.0980;0.0146;0.2193;0.0336;;0.0439;;0.0746;0.0877;0.0833;0.1038;0.0117;;0.0015;0.0088
13.2;;;;;;0.0044;0.0526;;;;;;;;;;;;;;;;;;;0.0058;;;
13.3;;;;;;;;;;;;0.0029;;;;;;;;;;;;;;;;;
13.4;;;;;;;;;;;;;;;;;;;;;;;;0.0015;;;;;
14.0;0.0088;0.2763;0.0015;0.0395;0.0249;0.0716;0.2105;0.2573;;0.0775;;0.2675;0.0906;0.0161;0.0585;0.0015;0.2939;0.0175;;;;0.0073;0.0395;0.0249;0.0687;0.0512;;;0.0804
14.2;;;;;;;0.0746;;;;;;;;;;;;;;;;;;;0.0058;;;
14.3;;;;;;;;0.0073;;;;0.0015;;;;;;;;;;;;;;;;;
15.0;;0.1974;0.0775;;;0.1652;0.0804;0.1579;;0.2515;0.0015;0.0190;0.3085;0.0029;0.0526;;0.1901;0.0132;;;;;0.0058;0.0044;0.0556;0.0439;;;0.1915
15.2;;;;;;0.0015;0.0614;;;;;;0.0015;;;;;;;;;;;;;0.0029;;;
15.3;;;;;;;;0.0292;;;;;;;;;;;;;;;;;;;;;
15.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.0;;0.0877;0.0673;;;0.1711;0.0044;0.1096;;0.1915;0.0556;;0.3187;;0.0161;;0.0643;;;;;;0.0029;;0.0409;0.0482;;;0.2500
16.2;;;;;;;0.0263;;;;;;;;;;;;;;0.0015;;;;;0.0044;;;
16.3;;;;;;;;0.1023;;;;;;;;;;;;;;;;;;;;;
17.0;;0.0249;0.1667;;;0.1520;;0.0278;;0.2091;0.1009;;0.2120;;0.0570;;0.0044;;;;;;;0.0015;0.0439;0.0950;;;0.2354
17.1;;;0.0044;;;;;;;;;;;;;;;;;;;;;;;;;;
17.2;;;;;;;0.0088;;;;;;;;;;;;;;0.0015;;;;;0.0015;;;
17.3;;;0.0044;;;;;0.0497;;;;;;;;;;;;;;;;;;0.0015;;;
18.0;;0.0015;0.2529;;;0.1213;;0.0029;;0.0146;0.0424;;0.0570;;0.1082;;0.0029;;;;0.0015;;;;0.0161;0.1199;;;0.1491
18.1;;;0.0015;;;;;;;;;;;;;;;;;;;;;;;;;;
18.2;;;;;;;0.0029;;;;;;;;;;;;;;0.0175;;;;;;;;
18.3;;;0.0044;;;;;0.0234;;;;;;;0.0015;;;;;;;;;;;;;;
19.0;;;0.1477;;;0.0994;;;;0.0058;0.1389;;0.0044;;0.1126;;;;;;0.0512;;;;0.0073;0.1272;;;0.0629
19.1;;;0.0088;;;;;;;;;;;;;;;;;;;;;;;;;;
19.2;;;;;;;;;;;;;;;;;;;;;0.0029;;;;;;;;
19.3;;;0.0044;;;;;0.0073;;;;;;;0.0015;;;;;;;;;;;;;;
19.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.0;;;0.1038;;;0.0629;;;;;0.1038;;;;0.0716;;;;;;0.0541;;;;0.0044;0.0980;;;0.0161
20.1;;;0.0029;;;;;;;;;;;;;;;;;;;;;;;;;;
20.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0029;;;
20.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.0;;;0.0643;;;0.0102;;;;;0.1360;;;;0.0175;;;;;;0.1228;;;;;0.0482;;;0.0015
21.2;;;;;;0.0015;;;;;;;;;;;;;;;;;;;;0.0102;;;
21.3;;;;;;;;;;;;;;;0.0015;;;;;;;;;;;;;;
22.0;;;0.0365;;;0.0073;;;;;0.1374;;;;;;;;;;0.1988;;;;;0.0146;;;
22.2;;;;;;;;;;;;;;;;;;;;;0.0044;;;;;0.0044;;;
22.3;;;;;;;;;;;;;;;;;;;;;0.0015;;;;;;;;
23.0;;;0.0292;;;0.0044;;;;;0.1038;;;;0.0102;;;;;;0.1696;;;;;0.0073;;;
23.2;;;;;;;;;;;;;;;;;;;;;0.0015;;;;;0.0175;;;
23.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.0;;;0.0132;;;0.0015;;;;;0.0833;;;;0.0058;;;;;;0.1330;;;;;;;;
24.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0132;;;
24.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.0;;;0.0088;;;;;;;;0.0775;;;;0.0015;;;;;;0.1184;;;;0.0015;;;;
